,A,B,K,d,r,s,D,j,j_deg,gmm
206,2730071552/3*theta_K^2 - 585838080*theta_K - 30657146896/3,960384720504832/27*theta_K^2 - 618285768525824/27*theta_K - 3594824026847872/9,x^3 - x^2 - 11*x + 4,3,3,0,5821,x^3 - 16307916245338*x^2 + 2044100881418297306*x - 12052893034758311087617,3,True
207,24224/3*theta_K^2 + 9616/3*theta_K - 365008/3,-43950592/27*theta_K^2 + 48918016/27*theta_K + 139156864/9,x^3 - x^2 - 11*x + 4,3,3,0,5821,x^3 - 16307916245338*x^2 + 2044100881418297306*x - 12052893034758311087617,3,True
208,7264/3*theta_K^2 - 1504*theta_K - 82177/3,-4090016/27*theta_K^2 + 868448/9*theta_K + 15343510/9,x^3 - x^2 - 11*x + 4,3,3,0,5821,x^3 - 8958667848943012*x^2 + 292795030427900149180*x + 94192605125043064851457,3,True
209,631009151/3*theta_K^2 - 406236742/3*theta_K - 2361936131,34628407736440/9*theta_K^2 - 66880246524056/27*theta_K - 1166560881132766/27,x^3 - x^2 - 11*x + 4,3,3,0,5821,x^3 - 8958667848943012*x^2 + 292795030427900149180*x + 94192605125043064851457,3,True
210,11343224/3*theta_K^2 - 1291464*theta_K - 68909696,445033789184/27*theta_K^2 - 5629843200*theta_K - 2703564957824/9,x^3 - x^2 - 18*x + 12,3,3,0,5925,x^3 + 696163*x^2 + 36889869123*x + 69533005614561,3,True
211,-1096/3*theta_K^2 - 1752*theta_K - 1040,-563200/27*theta_K^2 - 84480*theta_K + 39808/9,x^3 - x^2 - 18*x + 12,3,3,0,5925,x^3 + 696163*x^2 + 36889869123*x + 69533005614561,3,True
212,164/3*theta_K^2 + 128/3*theta_K - 2404/3,13504/27*theta_K^2 + 10528/27*theta_K - 21920/3,x^3 - x^2 - 16*x + 26,3,3,0,5980,x^3 + 127104*x^2 - 549449728*x - 178643795968,3,True
213,177648560/3*theta_K^2 + 435599168/3*theta_K - 1338379120/3,-39458023443968/27*theta_K^2 - 96792029025536/27*theta_K + 11003794110208,x^3 - x^2 - 16*x + 26,3,3,0,5980,x^3 + 2301092204133504*x^2 - 4233882495414016995328*x + 1141794198246774781509632,3,True
214,-91682830448584307/3*theta_K^2 - 108702015253089061*theta_K - 386641470238289161,12609001352754968034015202*theta_K^2 + 134546617463760871010367646/3*theta_K + 478567962798636797646911734/3,x^3 - 45,3,1,1,-6075,x^3 - 184761*x^2 + 143327232*x - 330225942528,3,True
215,1156831381426176,26230938716864358383616,x^3 - 12*x - 22,3,1,1,-6156,432,1,False
216,-1648956859192336662492351211597824,25843116383522866910423621087502070413846036086784,x^3 - 12*x - 22,3,1,1,-6156,-316368,1,False
217,1156831381426176,26230938716864358383616,x^3 + 6*x - 14,3,1,1,-6156,432,1,False
218,-1648956859192336662492351211597824,25843116383522866910423621087502070413846036086784,x^3 + 6*x - 14,3,1,1,-6156,-316368,1,False
219,-92347173428266391334912,-11703115420572099560169959902937088,x^3 - 46,3,1,1,-6348,-9936,1,True
220,-2991813282982768/3*theta_K^2 - 11124204002419024/3*theta_K - 7609183134803776/3,1824594558869782232249216/27*theta_K^2 + 251267934565494610499968*theta_K + 4640555018072842516383232/27,x^3 - x^2 - 15*x - 12,3,3,0,6549,x^3 - 112472*x^2 + 746825779*x - 380762836992,3,True
221,-7541989343939659120478190000*theta_K^2 + 25652739414486959928369720000*theta_K + 16675347347635871615361480000,-1428667871046953205701715473796947676000000*theta_K^2 + 4814243325371070593601428933096894838000000*theta_K + 3753523105359803379870616056656094642000000,x^3 - 11*x - 21,3,1,1,-6583,x^3 - 2017*x^2 - 1457750*x - 1838265625,3,False
222,16*theta_K^2 + 64*theta_K + 128/3,-122368/27*theta_K^2 - 478592/27*theta_K - 281216/27,x^3 - 13*x - 9,3,3,0,6601,x^3 - 258*x^2 + 7257*x - 12167,3,True
223,-151647904*theta_K^2 - 593190160*theta_K - 1046749216/3,-111336642721408/27*theta_K^2 - 435507511587200/27*theta_K - 256166952678272/27,x^3 - 13*x - 9,3,3,0,6601,x^3 + 7190562*x^2 + 4140145252857*x + 126030317921353,3,True
224,-11070*theta_K^2 + 153260/3*theta_K - 107182,-33013336/3*theta_K^2 + 1371172304/27*theta_K - 2876778776/27,x^3 - x^2 - 7*x + 35,3,1,1,-6776,-121,1,True
225,-8398409272441720*theta_K^2 + 116272872195292300/3*theta_K - 243945512848780501/3,50227974363671831764744522/27*theta_K^2 - 231795913343547213198333688/27*theta_K + 486317847742412153203398344/27,x^3 - x^2 - 7*x + 35,3,1,1,-6776,-24729001,1,True
226,-1743306687798392548028991277008*theta_K^2 + 1887309773106257185178198417712*theta_K - 21074390539246349031387668107968,-3067391214091493253107651471895964678401092736*theta_K^2 + 3321113921498665140711964907793631471793032704*theta_K - 37083426570219283781156119838340769861674196992,x^3 - x^2 + 12*x + 1,3,1,1,-7007,x^3 - 108934*x^2 + 175741097*x - 119168121961,3,False
227,-453789330871945720645389317114762934731903927901190839922066730516710945200*theta_K^2 + 491324973845685803639984023311599134284749161097675846501390643116411820672*theta_K - 5486112412068526070572729184895374015055759564340674160623393057227972370240,-12988511118511584001972499755250390703567953252552820897901225948571545003870835643746825004529363400012342881920*theta_K^2 + 14062868938181170726631609626378896168460917325204675799507004142955611582381842311738915668438697037400572459264*theta_K - 157025357834303567234881536633841830164969082212086801553114356283954849631220844341107384549587490467327385376896,x^3 - x^2 + 12*x + 1,3,1,1,-7007,x^3 - 1210018011096694*x^2 - 92656368249551923363*x - 15160723589383197686283961,3,False
228,136317760/9*theta_K^2 + 461650384/9*theta_K + 1972367152/9,23631229680896/81*theta_K^2 + 80028943070336/81*theta_K + 341917745574656/81,x^3 + 3*x - 49,3,1,1,-7215,x^3 + 5068*x^2 + 213670575*x - 68669157375,3,True
229,-67198978954619365883904*theta_K^2 - 166007046497274855161856*theta_K + 575877383050428344696832,23802027383253593259731848223784960*theta_K^2 + 67829164065887449592234703876784128*theta_K - 221514289698397049556507937707393024,x^3 - x^2 - 25*x + 45,3,3,0,7220,4864,1,False
230,54583680431894063638118400*theta_K^2 + 49334647359878928128802816*theta_K - 1290167979621929830550863872,682487594940036169827672421442512748544*theta_K^2 + 647303266258684619986381689601099038720*theta_K - 15792530752098071460939972793533393272832,x^3 - x^2 - 25*x + 45,3,3,0,7220,x^3 - 17946880*x^2 + 72961687552*x - 72657877860352,3,False
231,-30543174601066358445853862615785299731546112*theta_K^2 + 192654568625265903449455922156375453026222080*theta_K - 258956801986028337632412662500047750476857344,544073619064351218747340803486816465578135630723346851639259561984*theta_K^2 - 3431806606559227763977588300048120495534100244593538942651699560448*theta_K + 4612865763893195854775463259362926151645839302282256806875198652416,x^3 - x^2 - 25*x + 45,3,3,0,7220,x^3 - 62454016*x^2 + 3823644639232*x - 34123199134302208,3,False
232,192*theta_K^2 + 4928/3*theta_K - 32512/3,289792/27*theta_K^2 + 201728/9*theta_K - 8164352/27,x^3 - x^2 - 25*x + 45,3,3,0,7220,x^3 - 1024571827456*x^2 + 61106163442450432*x - 106003259496173928448,3,True
233,1136/9*theta_K^2 + 12176/9*theta_K - 8624,2119808/81*theta_K^2 + 4166528/81*theta_K - 20496256/27,x^3 - x^2 - 5*x - 48,3,1,1,-7355,x^3 - 1199*x^2 - 512000*x - 452984832,3,True
234,-56050081/3*theta_K^2 - 84356462*theta_K - 162607241/3,-31568019930*theta_K^2 - 3848376679204/27*theta_K - 824246729570/9,x^3 - x^2 - 22*x - 16,3,3,0,7441,x^3 - 8803*x^2 + 22301891*x - 17434421857,3,True
235,112756641235/6*theta_K^2 + 509107204165/6*theta_K + 163562362163/3,-27471379785256751/27*theta_K^2 - 124035761697872585/27*theta_K - 26566024968998506/9,x^3 - x^2 - 22*x - 16,3,3,0,7441,x^3 - 18580783*x^2 + 60026505311*x - 48359833994737,3,True
236,-58591/2*theta_K^2 - 264601/2*theta_K - 255037/3,43979057/3*theta_K^2 + 198568919/3*theta_K + 1148297618/27,x^3 - x^2 - 22*x - 16,3,3,0,7441,x^3 - 1133857*x^2 + 176897084815*x - 83608233481583,3,True
237,673236608/3*theta_K^2 - 1063540224*theta_K - 2880752528/3,-89639705113088/3*theta_K^2 + 3823405666672640/27*theta_K + 1150694141171584/9,x^3 - x^2 - 22*x - 16,3,3,0,7441,x^3 - 9286109263*x^2 - 845033740849*x + 137763859017023,3,True
238,-4421/6*theta_K^2 - 21193/6*theta_K - 8716/3,-1697543/27*theta_K^2 - 7612403/27*theta_K - 4729768/27,x^3 - x^2 - 22*x - 16,3,3,0,7441,x^3 - 561523*x^2 + 51088573091*x - 581618305344817,3,True
239,-11021316127/3*theta_K^2 + 17410837206*theta_K + 47159770912/3,-448826594659862*theta_K^2 + 57431452163219420/27*theta_K + 17284599460434784/9,x^3 - x^2 - 22*x - 16,3,3,0,7441,x^3 - 203009755057*x^2 + 31777275301847704975*x + 141117479875098268417,3,True
240,4/3*theta_K^2 - 2*theta_K - 59/3,-142/27*theta_K^2 + 256/27*theta_K + 1936/27,x^3 - x^2 - 15*x - 11,3,3,0,7444,x^3 - 1695*x^2 - 768919*x + 80062991,3,True
241,620/3*theta_K^2 - 1124/3*theta_K - 2795,8536*theta_K^2 - 417916/27*theta_K - 3117202/27,x^3 - x^2 - 15*x - 11,3,3,0,7444,x^3 - 1695*x^2 - 768919*x + 80062991,3,True
242,157120/3*theta_K^2 - 501232*theta_K - 9371200/3,-6783744*theta_K^2 - 301777280*theta_K - 1172224384,x^3 - x^2 - 10*x + 55,3,1,1,-7495,x^3 - 45279*x^2 + 204921900*x - 255443513625,3,True
243,-9115/3*theta_K^2 + 16103*theta_K - 116585/3,1422002/3*theta_K^2 - 2512230*theta_K + 18188164/3,x^3 - x^2 - 10*x + 55,3,1,1,-7495,x^3 - 216989096859*x^2 - 6667412309297550*x - 108472982271842723625,3,True
244,-1/3*theta_K^2 - 11/3*theta_K - 35/3,-74/27*theta_K^2 - 194/27*theta_K + 16/9,x^3 - x^2 - 24*x - 35,3,3,0,7537,x^3 + 386174*x^2 - 2058391939*x - 16747742076625,3,True
245,-35107/3*theta_K^2 - 175031/3*theta_K - 205240/3,-131067982/27*theta_K^2 - 24204200*theta_K - 85149200/3,x^3 - x^2 - 24*x - 35,3,3,0,7537,x^3 + 386174*x^2 - 2058391939*x - 16747742076625,3,False
246,-601/3*theta_K^2 - 1486/3*theta_K - 665/3,167732/27*theta_K^2 + 953506/27*theta_K + 400580/9,x^3 - x^2 - 24*x - 35,3,3,0,7537,x^3 + 386174*x^2 - 2058391939*x - 16747742076625,3,False
247,-94/3*theta_K^2 + 129*theta_K + 350,-5600/27*theta_K^2 + 7658/9*theta_K + 63146/27,x^3 - x^2 - 24*x - 35,3,3,0,7537,x^3 + 386174*x^2 - 2058391939*x - 16747742076625,3,True
248,-113296/3*theta_K^2 - 595936/3*theta_K - 721040/3,670370048/27*theta_K^2 + 3379263616/27*theta_K + 1329639680/9,x^3 - x^2 - 24*x - 35,3,3,0,7537,x^3 - 153744115846*x^2 + 4096064553354077281*x - 683019259125003461375,3,False
249,2336/3*theta_K^2 - 3056*theta_K - 9760,-1713152/27*theta_K^2 + 2360960/9*theta_K + 19008128/27,x^3 - x^2 - 24*x - 35,3,3,0,7537,x^3 - 153744115846*x^2 + 4096064553354077281*x - 683019259125003461375,3,True
250,-16/3*theta_K^2 - 4016/3*theta_K - 12080/3,-262784/27*theta_K^2 - 786560/27*theta_K + 22528/9,x^3 - x^2 - 24*x - 35,3,3,0,7537,x^3 - 153744115846*x^2 + 4096064553354077281*x - 683019259125003461375,3,True
251,-9424432/3*theta_K^2 - 46991216/3*theta_K - 55104640/3,-489368598400/27*theta_K^2 - 271113750016/3*theta_K - 317921699840/3,x^3 - x^2 - 24*x - 35,3,3,0,7537,x^3 - 153744115846*x^2 + 4096064553354077281*x - 683019259125003461375,3,False
252,-47713072/3*theta_K^2 - 237881456/3*theta_K - 278938240/3,-5574320237440/27*theta_K^2 - 3088213214720/3*theta_K - 1207131545600,x^3 - x^2 - 24*x - 35,3,3,0,7537,x^3 - 553132219306*x^2 - 94998745071169065705091*x + 34175243271367507381643375,3,False
253,-120544/3*theta_K^2 + 164624*theta_K + 453600,-277695488/27*theta_K^2 + 379519616/9*theta_K + 3135389312/27,x^3 - x^2 - 24*x - 35,3,3,0,7537,x^3 - 553132219306*x^2 - 94998745071169065705091*x + 34175243271367507381643375,3,True
254,-3856/3*theta_K^2 - 7856/3*theta_K - 560/3,-2520704/27*theta_K^2 - 10011776/27*theta_K - 3289088/9,x^3 - x^2 - 24*x - 35,3,3,0,7537,x^3 - 553132219306*x^2 - 94998745071169065705091*x + 34175243271367507381643375,3,True
255,-800656/3*theta_K^2 - 2085856/3*theta_K - 1085840/3,7043897600/27*theta_K^2 + 40920538240/27*theta_K + 17374419200/9,x^3 - x^2 - 24*x - 35,3,3,0,7537,x^3 - 553132219306*x^2 - 94998745071169065705091*x + 34175243271367507381643375,3,False
256,-43696*theta_K^2 - 1097344/3*theta_K - 2157760/3,-160979840/3*theta_K^2 - 6644145920/27*theta_K - 741987200/3,x^3 - x^2 - 24*x - 35,3,3,0,7537,x^3 - 18918476831280554859106*x^2 - 15592372023614338390436302691*x + 96424066704619045859724808890625,3,False
257,-3354752/3*theta_K^2 - 16731776/3*theta_K - 6543280,103961662976/27*theta_K^2 + 518359007744/27*theta_K + 607852781696/27,x^3 - x^2 - 24*x - 35,3,3,0,7537,x^3 - 18918476831280554859106*x^2 - 15592372023614338390436302691*x + 96424066704619045859724808890625,3,True
258,-15082688/3*theta_K^2 - 25256592*theta_K - 89943440/3,997992886400/27*theta_K^2 + 4975261060480/27*theta_K + 5832707555200/27,x^3 - x^2 - 24*x - 35,3,3,0,7537,x^3 - 18918476831280554859106*x^2 - 15592372023614338390436302691*x + 96424066704619045859724808890625,3,False
259,-42256/3*theta_K^2 - 203696/3*theta_K - 238640/3,-143608448/27*theta_K^2 - 713063552/27*theta_K - 277830656/9,x^3 - x^2 - 24*x - 35,3,3,0,7537,x^3 - 18918476831280554859106*x^2 - 15592372023614338390436302691*x + 96424066704619045859724808890625,3,True
260,-16/3*theta_K^2 + 80*theta_K + 64,-32128/27*theta_K^2 - 31232/27*theta_K - 512/3,x^3 - x^2 + 10*x + 9,3,1,1,-7671,x^3 + 3048401*x^2 + 79583194*x + 2749884201,3,True
261,-136*theta_K^2 + 1328/3*theta_K + 1375/3,69224/27*theta_K^2 - 25024/3*theta_K - 233246/27,x^3 - 14*x - 11,3,3,0,7709,x^3 + 20969792*x^2 - 2779363786384*x - 3999236143617,3,True
262,-157670/3*theta_K^2 + 513925/3*theta_K + 532048/3,525904696/27*theta_K^2 - 1714294496/27*theta_K - 1774724318/27,x^3 - 14*x - 11,3,3,0,7709,x^3 + 20969792*x^2 - 2779363786384*x - 3999236143617,3,True
263,-174313/3*theta_K^2 + 228774*theta_K + 35213,-966714338/27*theta_K^2 + 986831170/9*theta_K + 4041269548/27,x^3 - 14*x - 11,3,3,0,7709,x^3 + 306509*x^2 - 589728252573*x - 8352699878788273,3,True
264,-86170028/3*theta_K^2 + 280885513/3*theta_K + 96929161,-6754823055554/27*theta_K^2 + 22018465450166/27*theta_K + 22794684794524/27,x^3 - 14*x - 11,3,3,0,7709,x^3 + 306509*x^2 - 589728252573*x - 8352699878788273,3,True
265,24560/3*theta_K^2 - 20416/3*theta_K - 327616/3,-8890880/9*theta_K^2 + 22018048/27*theta_K + 355203200/27,x^3 - 14*x - 11,3,3,0,7709,x^3 - 445304954423152*x^2 + 35843949298262258720*x + 535045794522855612417,3,True
266,-896*theta_K^2 + 5888/3*theta_K + 6640/3,10171904/27*theta_K^2 - 3608576/3*theta_K - 33765248/27,x^3 - 14*x - 11,3,3,0,7709,x^3 - 445304954423152*x^2 + 35843949298262258720*x + 535045794522855612417,3,True
267,81824/3*theta_K^2 - 102320/3*theta_K - 1202944/3,-58709504/9*theta_K^2 + 180568064/27*theta_K + 820010368/9,x^3 - 14*x - 11,3,3,0,7709,x^3 - 867588310473*x^2 + 189894689001704634087*x + 51063890187244826610433,3,True
268,-31408*theta_K^2 - 128320*theta_K - 253888/3,-38608384/3*theta_K^2 - 157739008/3*theta_K - 935532416/27,x^3 - 14*x - 11,3,3,0,7709,x^3 - 867588310473*x^2 + 189894689001704634087*x + 51063890187244826610433,3,True
269,-3712/3*theta_K^2 - 3408*theta_K + 18400/3,-1897216/27*theta_K^2 - 1685632/9*theta_K + 9195136/27,x^3 - x^2 - 14*x + 17,3,3,0,7721,x^3 - 42893*x^2 - 605819134*x + 187837175583,3,True
270,-642304/3*theta_K^2 - 1659136/3*theta_K + 3047408/3,-4219188224/27*theta_K^2 - 10898584576/27*theta_K + 2224213120/3,x^3 - x^2 - 14*x + 17,3,3,0,7721,x^3 - 42893*x^2 - 605819134*x + 187837175583,3,True
271,-61312/3*theta_K^2 - 50768*theta_K + 283360/3,-123695872/27*theta_K^2 - 107119744/9*theta_K + 589158016/27,x^3 - x^2 - 14*x + 17,3,3,0,7721,x^3 - 2988312793*x^2 + 421200581634233866*x - 2877753547363198639617,3,True
272,-10230784/3*theta_K^2 - 26427136/3*theta_K + 48539888/3,-272607752192/27*theta_K^2 - 704173050880/27*theta_K + 143709573248/3,x^3 - x^2 - 14*x + 17,3,3,0,7721,x^3 - 2988312793*x^2 + 421200581634233866*x - 2877753547363198639617,3,True
273,-5277968/3*theta_K^2 + 25417792/3*theta_K - 23412032/3,44669570944/9*theta_K^2 - 646466040064/27*theta_K + 595804921984/27,x^3 - x^2 - 14*x + 17,3,3,0,7721,x^3 - 8065614267393521843*x^2 + 180385428263880314504816*x - 983701773606234833022242817,3,True
274,-971392/3*theta_K^2 - 827728*theta_K + 4576480/3,-7934744320/27*theta_K^2 - 6826388608/9*theta_K + 37625174656/27,x^3 - x^2 - 14*x + 17,3,3,0,7721,x^3 - 8065614267393521843*x^2 + 180385428263880314504816*x - 983701773606234833022242817,3,True
275,-72832/3*theta_K^2 - 31568*theta_K + 229600/3,-107761408/27*theta_K^2 - 135634048/9*theta_K + 670765696/27,x^3 - x^2 - 14*x + 17,3,3,0,7721,x^3 - 21993471536478397*x^2 + 805338762918078959313040*x + 42382386103500012527786479617,3,True
276,-10184704/3*theta_K^2 - 26308096/3*theta_K + 48321008/3,-275184361472/27*theta_K^2 - 710828689408/27*theta_K + 145067873408/3,x^3 - x^2 - 14*x + 17,3,3,0,7721,x^3 - 21993471536478397*x^2 + 805338762918078959313040*x + 42382386103500012527786479617,3,True
277,-1149968/3*theta_K^2 - 1085088*theta_K + 15204848/3,-8794390784/27*theta_K^2 - 905922432*theta_K + 118590950912/27,x^3 - x^2 - 24*x + 51,3,3,0,7881,x^3 - 4739425*x^2 - 980824076126*x + 1755490101676137,3,True
278,17924032/3*theta_K^2 + 9182288*theta_K - 360307696/3,-76879034752/27*theta_K^2 - 13132569472/3*theta_K + 1545203325568/27,x^3 - x^2 - 24*x + 51,3,3,0,7881,x^3 - 4739425*x^2 - 980824076126*x + 1755490101676137,3,True
279,406146520030012431220315521024*theta_K^2 - 472042423990487624803090956288*theta_K - 4398292181077704831481675776,340998449112656635759099870632274712302977024*theta_K^2 - 674499817807386786541103268390074496703266816*theta_K + 228929037261960326431809075800387092563886080,x^3 + 12*x - 6,3,1,1,-7884,x^3 - 1913088*x^2 + 42830856192*x - 7452354571927552,3,False
280,-130196082748683830117156245295736906151551951914638945274810647707648*theta_K^2 - 63820143222443486854185084554859197244352007456693788963944278261760*theta_K - 1593636658321474904303685803903344087656396307981461107482853206130688,-2039402486221403453804577359803740605897387315874062123736732607947770780500975236455496534211021504512*theta_K^2 - 999684138040420823425508022328995496002344909748001165373728270530977564437895246100597627011626696704*theta_K - 24962859822656534814782970325513110122805842273672592304346383504602870359668158814447732307722361634816,x^3 + 12*x - 6,3,1,1,-7884,x^3 - 6770502909781179648*x^2 + 16322135320866459942912*x - 18749484583742113067302912,3,False
281,-9872*theta_K^2 + 8752*theta_K + 772784/3,-108279424/81*theta_K^2 + 95828096/81*theta_K + 314034944/9,x^3 - x^2 - 26*x + 3,3,3,0,8017,x^3 - 10988*x^2 - 107711749*x + 139233463487,3,True
282,-25621088/3*theta_K^2 + 145670800/3*theta_K - 16404208/3,5459366939776/81*theta_K^2 - 31039679079296/81*theta_K + 1165141661312/27,x^3 - x^2 - 26*x + 3,3,3,0,8017,x^3 - 8689980*x^2 + 5414808153*x - 764805723625,3,True
283,-2967772/3*theta_K^2 - 5720852*theta_K - 7932552,-128869775360/9*theta_K^2 - 822560030720/27*theta_K + 604195507072/9,x^3 - x^2 + 4*x + 68,3,1,1,-8107,-121,1,True
284,-57701880200533/12*theta_K^2 + 86097068701301/4*theta_K - 188117748813713/2,752908033527203877280/27*theta_K^2 - 3370245880883149895680/27*theta_K + 14727634230149974200826/27,x^3 - x^2 + 4*x + 68,3,1,1,-8107,-24729001,1,True
285,-6539/6*theta_K^2 - 1671/2*theta_K + 6480,41566*theta_K^2 - 6471896/27*theta_K + 8615168/27,x^3 + 11*x - 32,3,1,1,-8243,x^3 - 1019498*x^2 + 2414594373*x - 6937271861248,3,True
286,-1813400/3*theta_K^2 - 3781016/3*theta_K - 27831040/3,23947404416/27*theta_K^2 + 49931369984/27*theta_K + 122510169088/9,x^3 + 11*x - 32,3,1,1,-8243,x^3 - 43164419260178*x^2 - 2692054285372260387*x - 44542081317824001998848,3,True
287,-76472444401972820150202783861928*theta_K^2 - 91904709716240640306654961471008*theta_K + 3506322955254672171595638757931096/3,1796825864806300377953170338757539289539196832000/3*theta_K^2 - 637525558464244557596911238453666108653994113024*theta_K - 414134893948584873832006814754052774943779500055808/27,x^3 - x^2 - 15*x + 47,3,1,1,-8260,x^3 - 1408*x^2 + 1806336*x - 5754585088,3,True
288,-22342116427732330787376,-700157532557472302829068275701888,x^3 - x^2 - 30*x + 64,3,3,0,8281,2457,1,False
289,-37449209796085407409319421683534391552*theta_K^2 - 131286752447595231945080858311498841856*theta_K + 531933862597682782529642868126736243920,-412588721006255368405098784284283529693368599221080372224*theta_K^2 - 1446423938895086004070872476169075119771106100377436597248*theta_K + 5860468413097782941650067733513335168872889165964458316672,x^3 - x^2 - 30*x + 64,3,3,0,8281,x^3 - 2542833*x^2 + 117911013687*x - 136933301000007,3,False
290,9453/2*theta_K^2 + 33139/2*theta_K - 67139,-392425*theta_K^2 - 1375735*theta_K + 5574062,x^3 - x^2 - 30*x + 64,3,3,0,8281,x^3 - 2542833*x^2 + 117911013687*x - 136933301000007,3,False
291,-3950834589448792721315115149980914048*theta_K^2 - 14169724738800575561700649271319961728*theta_K + 54232099880129206387016225053605881040,14777518678960619524983899714573682455664717800877765120*theta_K^2 + 51605925479359692512097378093244259108252029029440644608*theta_K - 211084070357721991337953651311401257370322280585985600640,x^3 - x^2 - 30*x + 64,3,3,0,8281,x^3 - 2542833*x^2 + 117911013687*x - 136933301000007,3,False
292,-22342116427732330787376,-700157532557472302829068275701888,x^3 - x^2 - 30*x - 27,3,3,0,8281,2457,1,False
293,-691821121411998236346510044794472308212192*theta_K^2 + 3744251351803646904631420053004273948020240*theta_K + 4232985163100633799948789684516891224287440,1350987980711239234044703206147507952012197048809488835799861888*theta_K^2 - 7311958948876255531153369595614498448715408647083852975149254784*theta_K - 8267028960301884983234276892785995236657007817709531592050327936,x^3 - x^2 - 30*x - 27,3,3,0,8281,x^3 - 2823438*x^2 + 61981427325*x - 158947043708809,3,False
294,-325655622051884653081793291275461571723824*theta_K^2 - 1749807742184110055957736843107955352912752*theta_K - 1381026959225756739570732004998917317331712,636002342010432864991518923674822213555540150615299210649935744*theta_K^2 + 3416961600123284837142590694767701642481050995813167296749649920*theta_K + 2694705510281331064748483420697881414896195897939984028698535424,x^3 - x^2 - 30*x - 27,3,3,0,8281,x^3 - 2823438*x^2 + 61981427325*x - 158947043708809,3,False
295,1017476743463882889428303336069933879936016*theta_K^2 - 1994443609619536848673683209896318595107488*theta_K - 28609839768901221173037381305425837087016880,-1986990322721672099036222129822330165567737199424788046449797632*theta_K^2 + 3894997348752970694010778900846796806234357651270685678399604864*theta_K + 55869544443624236714356488773113614735818399796935918795843129088,x^3 - x^2 - 30*x - 27,3,3,0,8281,x^3 - 2823438*x^2 + 61981427325*x - 158947043708809,3,False
296,-184/3*theta_K^2 + 997/3*theta_K + 1106/3,-91396/81*theta_K^2 + 494758/81*theta_K + 186314/27,x^3 - x^2 - 30*x - 27,3,3,0,8281,x^3 - 9564321774*x^2 + 1697975322666609*x - 6200389302913697689,3,True
297,-464*theta_K^2 - 2480*theta_K - 6064/3,-2755712/81*theta_K^2 - 14792320/81*theta_K - 3881984/27,x^3 - x^2 - 30*x - 27,3,3,0,8281,x^3 - 9564321774*x^2 + 1697975322666609*x - 6200389302913697689,3,True
298,271/3*theta_K^2 - 532/3*theta_K - 7636/3,44818/27*theta_K^2 - 9764/3*theta_K - 1260182/27,x^3 - x^2 - 30*x - 27,3,3,0,8281,x^3 - 9564321774*x^2 + 1697975322666609*x - 6200389302913697689,3,True
299,-48*theta_K^2 + 144*theta_K + 128,400*theta_K^2 - 1840*theta_K - 1552,x^3 - x^2 - 15*x - 10,3,3,0,8285,x^3 + 265275*x^2 - 2015733843*x - 66962984435712,3,True
300,4621373984*theta_K^2 - 7984115472*theta_K - 63510970368,-445502687414448*theta_K^2 + 769672593415056*theta_K + 6122488263704624,x^3 - x^2 - 15*x - 10,3,3,0,8285,x^3 + 265275*x^2 - 2015733843*x - 66962984435712,3,True
301,-233254749376/3*theta_K^2 + 69312414080/3*theta_K + 6277129395968/3,-60987784354789151744/81*theta_K^2 + 18129792713021401088/81*theta_K + 1641280751270647677952/81,x^3 - 27*x - 8,3,3,0,8556,x^3 - 3456*x^2 + 2985984*x - 16777216,3,True
302,-64*theta_K^2 - 176/3*theta_K - 2288/3,-77056/27*theta_K^2 - 71552/27*theta_K - 913664/27,x^3 + 11*x - 11,3,1,1,-8591,-121,1,True
303,-848/3*theta_K^2 - 704/3*theta_K - 9856/3,-682496/27*theta_K^2 - 632960/27*theta_K - 2713472/9,x^3 + 11*x - 11,3,1,1,-8591,-121,1,False
304,-23449/3*theta_K^2 - 21746/3*theta_K - 278113/3,8822102/9*theta_K^2 + 24546728/27*theta_K + 104631920/9,x^3 + 11*x - 11,3,1,1,-8591,-24729001,1,True
305,-100739/3*theta_K^2 - 93403/3*theta_K - 1194589/3,235610794/27*theta_K^2 + 218523566/27*theta_K + 931462792/9,x^3 + 11*x - 11,3,1,1,-8591,-24729001,1,False
306,7280752/3*theta_K^2 - 585952*theta_K - 95983760/3,15619723264/3*theta_K^2 - 1257160192*theta_K - 1853255084416/27,x^3 - x^2 - 13*x + 10,3,3,0,8637,x^3 - 32212026*x^2 - 71343978599178*x + 12521835777003198625,3,True
307,-1985971/3*theta_K^2 - 1822853*theta_K + 1763615,-167548838*theta_K^2 - 1384085530/3*theta_K + 12051958718/27,x^3 - x^2 - 13*x + 10,3,3,0,8637,x^3 - 4993701197238*x^2 - 16791762704046012*x + 45762279282325014625,3,True
308,-16*theta_K^2 - 16/3*theta_K,-128*theta_K^2 + 256/3*theta_K + 128/27,x^3 - 27*x - 1,3,3,0,8745,x^3 - 1542*x^2 - 14149725*x + 9938375,3,True
309,-128*theta_K - 16/3,1024*theta_K^2 + 512/3*theta_K + 128/27,x^3 - 27*x - 1,3,3,0,8745,x^3 + 530634*x^2 + 1387857*x - 5150827583,3,True
310,-16672448/3*theta_K^2 - 86939696/3*theta_K - 1065760,335111014784/9*theta_K^2 + 1747460807552/9*theta_K + 192792980096/27,x^3 - 27*x - 1,3,3,0,8745,x^3 + 6012648*x^2 - 13389706277775*x + 17701017248108375,3,True
